"","USPS","GEOID","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"3615","CA","6045011102",834001490,22658235,322.01,8.748,38.8846355,-123.5511675
"3616","CA","6045011200",650709628,105252,251.24,0.041,39.1071277,-123.4588038
"3617","CA","6045011300",263373294,249309,101.689,0.096,39.1014223,-123.2883087
"3618","CA","6045011400",11061593,0,4.271,0,39.142406,-123.2304258
"3619","CA","6045011500",5238874,18652,2.023,0.007,39.1561868,-123.2032659
"3620","CA","6045011600",3824415,0,1.477,0,39.1357597,-123.202651
"3621","CA","6045011700",176509880,4755605,68.151,1.836,39.1624023,-123.1105871
"3622","CA","6045011800",655827099,1318998,253.216,0.509,38.9361372,-123.1194447
"3623","CA","6045990100",0,869680393,0,335.785,39.3802945,-123.837729
"3624","CA","6047000201",119601606,140810,46.178,0.054,37.459795,-120.7094467
"3625","CA","6047000202",24358161,253583,9.405,0.098,37.4123664,-120.7903626
"3626","CA","6047000203",4759408,0,1.838,0,37.4290665,-120.7838842
"3627","CA","6047000301",26007139,23715,10.041,0.009,37.4002299,-120.6908186
"3628","CA","6047000303",113229598,229036,43.718,0.088,37.3413009,-120.7492817
"3629","CA","6047000304",7172503,0,2.769,0,37.3783238,-120.7258127
"3630","CA","6047000401",78310800,1252046,30.236,0.483,37.3402713,-120.8828702
"3631","CA","6047000402",118656651,1135494,45.814,0.438,37.3998708,-120.8953613
"3632","CA","6047000503",117542972,399640,45.384,0.154,37.4217409,-120.5674195
"3633","CA","6047000504",6878273,0,2.656,0,37.3941884,-120.611118
"3634","CA","6047000505",45531609,0,17.58,0,37.3574501,-120.6497474
"3635","CA","6047000601",4150736,0,1.603,0,37.3603112,-120.6220478
"3636","CA","6047000602",1316980,0,0.508,0,37.3564573,-120.6034458
"3637","CA","6047000603",4153322,11735,1.604,0.005,37.3657737,-120.5979864
"3638","CA","6047000701",1926345,0,0.744,0,37.3473633,-120.6047053
"3639","CA","6047000702",22271398,0,8.599,0,37.3229836,-120.6072659
"3640","CA","6047000801",3423869,0,1.322,0,37.3545046,-120.579253
"3641","CA","6047000802",2294942,0,0.886,0,37.3434586,-120.5855649
"3642","CA","6047000901",762266794,5414063,294.313,2.09,37.203588,-120.5697813
"3643","CA","6047000902",21787941,68353,8.412,0.026,37.322387,-120.5557004
"3644","CA","6047001002",17222673,13591,6.65,0.005,37.3407645,-120.4935293
"3645","CA","6047001003",1600638,0,0.618,0,37.3196668,-120.4948054
"3646","CA","6047001004",2055831,0,0.794,0,37.3183669,-120.477943
