"","SerialNumber","TransportationMode","ArrivalTime","Age","ClassOfWorker","Occupation","Sex","MaritalStatus","HealthInsurance","EducationLevel","TotalIncome","IncomeAdjuster","PUMA","HomeOffice"
"1483",88137,"Driving",86,72,4,3255,2,2,1,20,116000,1007588,11104,0
"1484",88781,"Biking",168,21,4,5000,1,5,1,19,3100,1007588,8303,0
"1485",88825,"Driving",91,44,5,1965,1,1,1,19,64000,1007588,11104,0
"1486",88826,NA,NA,42,1,410,2,1,1,20,0,1007588,11104,0
"1487",88827,NA,NA,13,NA,NA,1,5,1,10,NA,1007588,11104,0
"1488",88828,NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11104,0
"1489",88945,"Driving",175,67,1,310,1,3,1,15,72000,1007588,11103,0
"1490",88946,NA,NA,31,1,800,1,2,1,20,0,1007588,11103,0
"1491",88947,NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11103,0
"1492",89298,"Driving",82,27,5,3640,2,1,1,19,31000,1007588,11104,0
"1493",89299,"Driving",104,28,1,4500,1,1,2,19,35000,1007588,11104,0
"1494",89300,NA,NA,5,NA,NA,2,5,2,1,NA,1007588,11104,0
"1495",89370,"Driving",224,20,2,2750,2,5,1,19,17100,1007588,8303,0
"1496",89512,NA,NA,80,NA,NA,1,1,1,12,10800,1007588,11103,0
"1497",89594,"Driving",94,53,4,430,1,1,1,21,133000,1007588,8303,0
"1498",89595,"Driving",107,51,1,5940,2,1,1,21,22000,1007588,8303,0
"1499",89596,"Driving",120,23,2,2310,2,5,1,21,12000,1007588,8303,0
"1500",89743,"Driving",94,48,1,140,1,1,1,19,78000,1007588,11104,0
"1501",89744,"Driving",94,22,1,3320,1,5,1,18,4000,1007588,11104,0
"1502",89745,"Driving",201,19,1,4020,1,5,1,18,9000,1007588,11104,0
"1503",89746,NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11104,0
"1504",89747,NA,NA,44,NA,NA,2,1,1,16,0,1007588,11104,0
"1505",89748,"Driving",72,50,2,9130,1,3,1,16,20000,1007588,11104,0
"1506",89784,NA,NA,94,NA,NA,2,2,1,18,0,1007588,8303,0
"1507",89834,"Driving",83,50,5,700,2,3,1,16,73000,1007588,11103,0
"1508",89837,"Driving",75,56,1,6050,2,1,2,5,14000,1007588,11103,0
"1509",89838,NA,NA,67,NA,NA,1,1,2,5,12000,1007588,11103,0
"1510",90015,"Driving",80,49,1,4710,1,1,2,16,42000,1007588,11104,0
"1511",90016,"Driving",107,44,1,4320,2,1,2,19,22000,1007588,11104,0
"1512",90017,"Driving",227,24,1,4760,1,5,1,17,16000,1007588,11104,0
"1513",90018,NA,NA,16,NA,NA,2,5,1,13,0,1007588,11104,0
"1514",90126,"Driving",105,26,4,4610,2,3,1,16,12000,1007588,11103,0
"1515",90127,NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103,0
"1516",90128,NA,NA,52,1,7330,1,5,1,14,28000,1007588,11103,0
"1517",90129,NA,NA,48,NA,NA,2,2,1,13,10100,1007588,11103,0
"1518",90176,"Public Transit",182,18,1,5240,2,5,1,18,1200,1007588,11106,0
"1519",90348,NA,NA,18,1,4220,1,5,1,18,3400,1007588,8303,0
"1520",90699,NA,NA,81,NA,NA,2,2,1,1,20800,1007588,11104,0
"1521",90789,NA,NA,88,NA,NA,2,2,1,18,20300,1007588,11103,0
"1522",90837,NA,NA,63,3,2010,2,2,1,18,34200,1007588,11104,0
"1523",90838,"Driving",194,19,1,4150,2,5,1,18,3000,1007588,11104,0
"1524",90987,NA,NA,71,NA,NA,1,5,1,19,15500,1007588,11103,0
"1525",91024,"Driving",80,54,1,6765,1,4,1,16,26000,1007588,11104,0
"1526",91025,"Public Transit",142,20,1,4720,2,5,1,16,5700,1007588,11104,0
"1527",91026,NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11104,0
"1528",91390,NA,NA,73,6,4850,2,2,1,19,95900,1007588,11106,0
"1529",91517,NA,NA,18,1,4760,1,5,1,19,5000,1007588,8303,0
"1530",91951,"Driving",101,34,1,5940,2,5,1,21,28000,1007588,11104,0
"1531",91952,"Driving",100,32,1,3630,1,5,1,19,44800,1007588,11104,0
"1532",92333,NA,NA,64,2,630,1,1,1,19,78800,1007588,8303,0
"1533",92334,"Driving",98,61,2,3255,2,1,1,20,51000,1007588,8303,0
"1534",92335,"Driving",91,57,1,600,1,1,1,19,106000,1007588,8303,0
"1535",92336,"Driving",89,56,3,2310,2,1,1,23,89000,1007588,8303,0
"1536",92337,"Driving",198,21,1,4430,1,5,1,19,6000,1007588,8303,0
"1537",92431,"Biking",197,20,1,4110,2,5,1,18,14000,1007588,8303,0
"1538",92634,"Driving",133,78,1,4430,1,1,1,16,34800,1007588,11106,0
"1539",92635,NA,NA,78,NA,NA,2,1,1,19,53200,1007588,11106,0
"1540",92636,"Driving",272,55,2,5120,2,5,1,16,30000,1007588,11106,0
"1541",92637,NA,NA,80,NA,NA,2,5,1,20,8400,1007588,11106,0
"1542",92814,NA,NA,82,1,1320,1,1,1,22,37800,1007588,11106,0
"1543",92815,NA,NA,74,NA,NA,2,1,1,21,16200,1007588,11106,0
"1544",93088,NA,NA,46,1,5000,2,1,1,19,0,1007588,11103,0
"1545",93089,"Driving",98,52,1,140,1,1,1,18,200000,1007588,11103,0
"1546",93090,"Driving",98,24,2,5700,1,5,1,17,75000,1007588,11103,0
"1547",93093,NA,NA,61,1,4720,2,1,1,19,9600,1007588,11103,0
"1548",93094,NA,NA,60,NA,NA,1,1,1,19,13000,1007588,11103,0
"1549",93095,"Driving",272,38,3,4230,1,5,1,16,32000,1007588,11103,0
"1550",93096,NA,NA,33,NA,NA,1,5,1,15,0,1007588,11103,0
"1551",93097,"Driving",93,32,4,5700,2,5,1,19,30000,1007588,11103,0
"1552",93098,NA,NA,16,NA,NA,2,5,1,14,0,1007588,11103,0
"1553",93099,NA,NA,15,NA,NA,2,5,1,12,0,1007588,11103,0
"1554",93100,NA,NA,8,NA,NA,1,5,1,6,NA,1007588,11103,0
"1555",93101,"Driving",83,38,4,4250,1,1,1,16,29000,1007588,11103,0
"1556",93102,"Home Office",NA,38,3,4610,2,1,1,16,15300,1007588,11103,1
"1557",93416,"Driving",94,36,2,2300,2,1,1,20,19000,1007588,11104,0
"1558",93417,"Driving",61,37,1,1107,1,1,1,18,56000,1007588,11104,0
"1559",93418,NA,NA,15,NA,NA,2,5,1,13,0,1007588,11104,0
"1560",93419,NA,NA,12,NA,NA,1,5,1,10,NA,1007588,11104,0
"1561",93462,NA,NA,81,NA,NA,1,1,1,18,32300,1007588,11104,0
"1562",93720,"Public Transit",75,22,1,6050,1,5,2,5,20800,1007588,11103,0
"1563",94053,NA,NA,58,5,9810,1,1,1,19,80000,1007588,11106,0
"1564",94054,NA,NA,59,NA,NA,2,1,1,20,0,1007588,11106,0
"1565",94055,"Driving",159,24,1,4760,2,5,1,21,20000,1007588,11106,0
"1566",94056,"Driving",98,22,1,800,2,5,1,21,10000,1007588,11106,0
"1567",94057,NA,NA,19,1,5240,1,5,1,18,2500,1007588,11106,0
"1568",94147,"Driving",94,35,1,220,1,1,1,21,70000,1007588,11106,0
"1569",94148,NA,NA,33,1,5120,2,1,1,20,0,1007588,11106,0
"1570",94149,NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11106,0
"1571",94150,NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11106,0
"1572",94151,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11106,0
"1573",94540,"Driving",93,22,2,4600,2,5,1,19,4400,1007588,11103,0
"1574",94541,"Driving",215,23,1,4130,2,5,1,21,34300,1007588,11103,0
"1575",94542,"Driving",191,23,1,4110,2,5,1,21,8000,1007588,11103,0
"1576",94543,"Driving",214,22,2,3955,1,5,1,19,1900,1007588,11103,0
"1577",94793,NA,NA,94,NA,NA,1,2,1,15,6600,1007588,11104,0
"1578",95120,"Driving",50,63,1,9130,1,1,1,15,60000,1007588,11106,0
"1579",95121,NA,NA,61,NA,NA,2,1,1,8,0,1007588,11106,0
"1580",95122,NA,NA,34,NA,NA,2,5,1,20,0,1007588,11106,0
"1581",95123,"Driving",50,33,1,7200,1,5,1,20,39000,1007588,11106,0
"1582",95124,"Driving",177,29,3,230,2,1,1,19,15000,1007588,11106,0
"1583",95125,NA,NA,16,NA,NA,2,5,1,12,0,1007588,11106,0
"1584",95150,"Home Office",NA,23,3,4620,2,5,1,18,3000,1007588,11106,1
"1585",95243,"Home Office",NA,79,7,4810,1,1,1,22,523000,1007588,8303,1
"1586",95244,NA,NA,78,NA,NA,2,1,1,22,12000,1007588,8303,0
"1587",95401,"Biking",78,74,1,220,1,1,1,21,111500,1007588,8303,0
"1588",95402,"Driving",84,60,1,5940,2,1,1,19,54500,1007588,8303,0
"1589",95547,NA,NA,79,NA,NA,2,1,1,16,3600,1007588,8303,0
"1590",95548,"Driving",120,81,6,430,1,1,1,21,2801,1007588,8303,0
"1591",95555,NA,NA,18,1,5240,2,5,1,16,26010,1007588,8303,0
"1592",95875,NA,NA,79,NA,NA,2,2,1,11,21400,1007588,11103,0
"1593",95876,NA,NA,47,NA,NA,2,1,1,16,1500,1007588,11103,0
"1594",95877,"Driving",68,31,3,3647,2,1,1,18,40000,1007588,11103,0
"1595",95878,"Driving",63,29,5,5860,1,5,1,16,28400,1007588,11103,0
"1596",95879,NA,NA,51,NA,NA,1,1,1,15,2900,1007588,11103,0
"1597",95880,NA,NA,49,NA,NA,2,5,1,18,9500,1007588,11103,0
"1598",95881,NA,NA,13,NA,NA,2,5,1,9,NA,1007588,11103,0
"1599",95882,NA,NA,13,NA,NA,2,5,1,9,NA,1007588,11103,0
"1600",95883,"Driving",68,26,1,4760,2,5,2,16,1000,1007588,11103,0
"1601",95884,NA,NA,16,NA,NA,2,5,2,11,0,1007588,11103,0
"1602",95885,NA,NA,8,NA,NA,1,5,2,5,NA,1007588,11103,0
"1603",95886,NA,NA,8,NA,NA,1,5,1,3,NA,1007588,11103,0
"1604",96118,NA,NA,18,NA,NA,2,5,1,18,1300,1007588,11106,0
"1605",96628,"Driving",113,55,4,2430,2,1,1,22,240000,1007588,8303,0
"1606",96629,"Driving",159,55,1,9620,1,1,1,21,30000,1007588,8303,0
"1607",96630,NA,NA,24,1,5240,1,5,1,16,0,1007588,8303,0
"1608",96801,NA,NA,51,NA,NA,2,3,1,14,17200,1007588,8303,0
"1609",96828,NA,NA,55,NA,NA,1,3,1,21,9000,1007588,11103,0
"1610",96942,"Driving",107,58,1,1530,2,3,1,18,81000,1007588,11103,0
"1611",96971,"Driving",82,33,1,3420,2,1,1,21,36000,1007588,11104,0
"1612",96972,"Driving",67,31,1,8740,1,1,1,19,22000,1007588,11104,0
"1613",96973,NA,NA,4,NA,NA,1,5,1,2,NA,1007588,11104,0
"1614",96974,NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11104,0
"1615",97042,NA,NA,45,9,9920,2,5,1,13,4200,1007588,11106,0
"1616",97043,"Driving",51,24,1,9620,1,5,1,17,13000,1007588,11106,0
"1617",97044,NA,NA,18,9,9920,2,5,1,18,0,1007588,11106,0
"1618",97045,NA,NA,17,NA,NA,1,5,1,14,9600,1007588,11106,0
"1619",97046,NA,NA,11,NA,NA,2,5,1,8,NA,1007588,11106,0
"1620",97697,"Driving",31,54,5,6830,1,1,1,21,105700,1007588,11103,0
"1621",97698,NA,NA,49,4,4610,2,1,1,19,0,1007588,11103,0
"1622",97699,"Driving",31,23,1,6050,1,5,1,16,5000,1007588,11103,0
"1623",97700,NA,NA,22,1,4720,1,5,1,20,120,1007588,11103,0
"1624",97701,NA,NA,17,NA,NA,1,5,1,14,0,1007588,11103,0
"1625",97702,NA,NA,11,NA,NA,2,5,1,7,NA,1007588,11103,0
"1626",97703,NA,NA,9,NA,NA,2,5,1,5,NA,1007588,11103,0
"1627",97711,"Walking",199,19,1,4150,1,5,1,19,4100,1007588,8303,0
"1628",98045,"Driving",88,33,1,5120,1,5,1,19,47000,1007588,11103,0
"1629",98176,"Home Office",NA,37,1,630,2,1,1,21,70000,1007588,8303,1
"1630",98177,"Driving",72,46,1,340,1,1,1,20,127000,1007588,8303,0
"1631",98178,NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,8303,0
"1632",98188,NA,NA,75,NA,NA,1,1,1,21,24400,1007588,11103,0
"1633",98189,NA,NA,68,NA,NA,2,1,1,21,19400,1007588,11103,0
"1634",98276,"Driving",74,58,1,7000,1,1,2,12,40000,1007588,11104,0
"1635",98277,NA,NA,56,1,6040,2,1,1,9,9600,1007588,11104,0
"1636",98484,"Driving",84,27,1,4700,1,5,1,19,95000,1007588,11104,0
"1637",98485,"Driving",110,30,1,4760,2,5,1,19,45000,1007588,11104,0
"1638",98621,"Driving",91,49,1,5700,2,1,1,21,100000,1007588,11106,0
"1639",98622,NA,NA,48,1,9030,1,1,1,21,16100,1007588,11106,0
"1640",98654,NA,NA,48,NA,NA,2,1,1,16,0,1007588,11104,0
"1641",98655,"Driving",279,46,7,4210,1,1,1,19,66000,1007588,11104,0
"1642",98775,NA,NA,82,NA,NA,1,2,1,19,23000,1007588,8303,0
"1643",98776,NA,NA,55,1,725,1,5,1,20,524000,1007588,8303,0
"1644",98777,NA,NA,48,NA,NA,2,3,1,18,7700,1007588,8303,0
"1645",98778,"Driving",66,19,1,4030,2,5,1,20,15000,1007588,8303,0
"1646",99068,NA,NA,19,NA,NA,2,5,1,19,0,1007588,8303,0
"1647",99070,"Driving",200,23,1,5700,2,5,2,20,15000,1007588,11103,0
"1648",99071,"Driving",177,25,1,2340,1,5,1,21,10000,1007588,11103,0
"1649",99072,"Driving",116,22,1,5700,2,5,1,20,10000,1007588,11103,0
"1650",99139,"Driving",96,30,4,1760,2,5,1,22,31000,1007588,8303,0
"1651",99140,"Driving",106,22,1,2630,1,5,1,21,8000,1007588,8303,0
"1652",99201,NA,NA,55,NA,NA,1,1,1,9,34800,1007588,11103,0
"1653",99308,"Driving",79,51,3,2310,1,1,1,22,75000,1007588,11106,0
"1654",99309,"Driving",83,46,1,5400,2,1,1,21,700,1007588,11106,0
"1655",99310,NA,NA,10,NA,NA,1,5,1,6,NA,1007588,11106,0
"1656",99345,"Driving",127,47,6,430,1,1,1,21,349000,1007588,11106,0
"1657",99346,"Driving",100,49,3,5700,2,1,1,19,40000,1007588,11106,0
"1658",99347,"Driving",95,23,3,2200,2,5,1,15,12500,1007588,11106,0
"1659",99348,NA,NA,20,1,4110,2,5,1,19,2500,1007588,11106,0
"1660",99482,NA,NA,43,1,4220,1,3,2,16,0,1007588,11104,0
"1661",99532,NA,NA,76,NA,NA,1,3,1,14,10800,1007588,8303,0
"1662",99598,"Driving",73,35,3,3850,1,1,1,19,130000,1007588,11104,0
"1663",99599,"Driving",90,37,3,2015,2,1,1,21,65000,1007588,11104,0
"1664",99600,NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104,0
"1665",99601,NA,NA,5,NA,NA,2,5,1,1,NA,1007588,11104,0
"1666",99737,"Driving",88,61,3,800,1,1,1,23,118100,1007588,11104,0
"1667",99738,"Driving",82,60,3,3255,2,1,1,20,28400,1007588,11104,0
"1668",99761,"Home Office",NA,65,6,8320,2,1,1,13,53200,1007588,8303,1
"1669",99762,"Driving",90,54,1,2630,1,1,1,19,102000,1007588,8303,0
"1670",99763,"Public Transit",96,20,1,5700,2,5,1,19,40000,1007588,8303,0
"1671",99810,NA,NA,19,NA,NA,1,5,1,19,12001,1007588,8303,0
"1672",100004,"Driving",93,43,1,5240,2,1,1,18,26000,1007588,11106,0
"1673",100005,"Driving",93,45,1,5620,1,1,1,16,30000,1007588,11106,0
"1674",100006,"Driving",93,20,1,4020,1,5,1,19,11200,1007588,11106,0
"1675",100007,NA,NA,17,NA,NA,2,5,1,14,0,1007588,11106,0
"1676",100008,NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11106,0
"1677",100009,NA,NA,12,NA,NA,1,5,1,9,NA,1007588,11106,0
"1678",100025,"Driving",156,48,1,2630,2,3,1,21,69000,1007588,11106,0
"1679",100026,"Biking",218,22,1,4720,1,5,1,20,8000,1007588,11106,0
"1680",100029,NA,NA,33,1,4760,2,1,1,22,22000,1007588,8303,0
"1681",100030,"Driving",107,30,1,1020,1,1,1,24,143230,1007588,8303,0
"1682",100079,NA,NA,70,NA,NA,2,5,1,19,44100,1007588,8303,0
"1683",100450,NA,NA,87,NA,NA,1,2,1,18,21100,1007588,11103,0
"1684",100560,"Driving",82,51,1,1240,1,1,1,22,504000,1007588,11106,0
"1685",100561,"Driving",83,67,1,2200,2,1,1,22,48300,1007588,11106,0
"1686",100562,NA,NA,18,NA,NA,2,5,1,14,0,1007588,11106,0
"1687",100563,NA,NA,16,NA,NA,2,5,1,12,0,1007588,11106,0
"1688",100785,"Driving",216,39,3,3740,1,5,1,18,300000,1007588,8303,0
"1689",100786,NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303,0
"1690",100787,NA,NA,7,NA,NA,1,5,1,3,NA,1007588,8303,0
"1691",100788,NA,NA,34,1,5620,2,5,1,16,0,1007588,8303,0
"1692",100951,"Driving",162,66,6,5120,2,1,1,21,62900,1007588,8303,0
"1693",100952,"Driving",144,68,6,5120,1,1,1,21,48800,1007588,8303,0
"1694",101015,"Home Office",NA,68,7,10,2,3,1,22,150000,1007588,8303,1
"1695",101016,NA,NA,58,4,2015,1,3,1,19,42000,1007588,8303,0
"1696",101248,NA,NA,18,1,5860,1,5,1,16,9000,1007588,8303,0
"1697",101520,"Driving",91,40,1,910,2,5,1,21,102920,1007588,11103,0
"1698",101521,NA,NA,17,NA,NA,2,5,1,13,0,1007588,11103,0
"1699",101522,NA,NA,13,NA,NA,1,5,1,9,NA,1007588,11103,0
"1700",101523,NA,NA,8,NA,NA,1,5,1,4,NA,1007588,11103,0
"1701",101524,"Driving",97,41,8,4700,1,1,1,19,10000,1007588,11103,0
"1702",101670,NA,NA,18,NA,NA,1,5,1,18,0,1007588,8303,0
"1703",101952,"Driving",89,56,1,20,1,1,1,21,150000,1007588,11106,0
"1704",101953,NA,NA,58,NA,NA,2,1,1,23,20000,1007588,11106,0
"1705",101954,NA,NA,16,NA,NA,1,5,1,13,0,1007588,11106,0
"1706",102018,NA,NA,65,2,4950,1,2,1,21,19520,1007588,11104,0
"1707",102177,"Driving",145,73,6,4920,1,1,1,17,53800,1007588,8303,0
"1708",102178,NA,NA,73,NA,NA,2,1,1,15,50900,1007588,8303,0
"1709",102179,"Driving",72,35,1,4610,2,5,1,1,65000,1007588,8303,0
"1710",102191,NA,NA,94,NA,NA,2,2,1,16,25500,1007588,8303,0
"1711",102648,"Driving",95,49,1,350,1,1,1,23,855000,1007588,8303,0
"1712",102649,NA,NA,49,NA,NA,2,1,1,23,0,1007588,8303,0
"1713",102650,NA,NA,16,NA,NA,2,5,1,13,0,1007588,8303,0
"1714",102651,NA,NA,15,NA,NA,2,5,1,11,0,1007588,8303,0
"1715",102704,NA,NA,19,9,9920,2,5,1,19,7900,1007588,8303,0
"1716",102876,"Driving",177,42,1,3600,2,5,1,14,35100,1007588,8303,0
"1717",102877,NA,NA,23,1,4020,1,5,1,15,3400,1007588,8303,0
"1718",102878,"Driving",61,22,1,4110,2,5,1,16,20000,1007588,8303,0
"1719",102879,"Driving",169,21,1,4650,1,5,1,16,17000,1007588,8303,0
"1720",102880,"Driving",169,20,1,4610,1,5,1,19,3000,1007588,8303,0
"1721",102881,NA,NA,36,NA,NA,1,5,1,17,0,1007588,8303,0
"1722",102882,NA,NA,4,NA,NA,2,5,1,2,NA,1007588,8303,0
"1723",102883,NA,NA,3,NA,NA,2,5,1,2,NA,1007588,8303,0
"1724",102884,NA,NA,70,NA,NA,2,5,1,13,4600,1007588,8303,0
"1725",102885,NA,NA,70,NA,NA,2,5,1,9,4600,1007588,8303,0
"1726",102886,NA,NA,27,1,6260,1,5,1,10,6500,1007588,8303,0
"1727",102887,"Driving",63,22,1,6260,1,5,1,16,37000,1007588,8303,0
"1728",103117,"Driving",172,25,1,4050,1,1,1,21,44100,1007588,8303,0
"1729",103118,"Driving",100,24,1,3420,2,1,1,21,36000,1007588,8303,0
"1730",103201,"Driving",94,49,1,430,2,3,1,21,158000,1007588,11106,0
"1731",103202,NA,NA,17,NA,NA,1,5,1,14,0,1007588,11106,0
"1732",103363,"Driving",68,53,3,5940,2,1,1,21,20000,1007588,8303,0
"1733",103364,"Home Office",NA,54,1,50,1,1,1,22,120000,1007588,8303,1
"1734",103399,NA,NA,26,1,4150,2,5,1,19,500,1007588,8303,0
"1735",103400,NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,8303,0
"1736",103401,"Driving",203,25,1,9130,1,5,1,19,8500,1007588,8303,0
"1737",103523,NA,NA,85,NA,NA,2,2,1,16,22400,1007588,8303,0
"1738",103754,NA,NA,19,1,9620,1,5,1,19,3400,1007588,8303,0
"1739",104150,"Driving",74,61,1,4710,1,5,1,16,89200,1007588,11104,0
"1740",104151,NA,NA,21,5,9820,1,5,1,19,12000,1007588,11104,0
"1741",104152,"Driving",102,18,1,4030,1,5,1,16,8000,1007588,11104,0
"1742",104444,"Driving",106,54,2,430,1,5,1,21,125000,1007588,8303,0
"1743",104630,NA,NA,20,NA,NA,1,5,1,19,500,1007588,11106,0
"1744",104723,"Driving",96,73,1,410,1,1,1,24,37800,1007588,8303,0
"1745",104724,NA,NA,72,NA,NA,2,1,1,22,11500,1007588,8303,0
"1746",104936,NA,NA,42,NA,NA,2,1,1,19,5000,1007588,11106,0
"1747",104937,"Driving",100,44,1,4700,1,1,1,20,340000,1007588,11106,0
"1748",104938,NA,NA,9,NA,NA,1,5,1,5,NA,1007588,11106,0
"1749",104942,"Driving",63,38,1,6050,1,5,2,9,24000,1007588,11103,0
"1750",104943,"Driving",63,42,1,6050,1,5,2,6,20000,1007588,11103,0
"1751",104944,"Driving",63,42,1,6050,2,5,2,9,12000,1007588,11103,0
"1752",104945,"Driving",63,39,1,6050,1,5,2,9,20000,1007588,11103,0
"1753",104946,"Driving",63,16,1,6050,1,5,2,6,15000,1007588,11103,0
"1754",105057,NA,NA,74,NA,NA,2,2,1,18,28700,1007588,11106,0
"1755",105135,"Driving",80,43,1,5410,2,1,1,19,40000,1007588,11106,0
"1756",105136,NA,NA,47,1,1965,1,1,1,19,0,1007588,11106,0
"1757",105137,NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11106,0
"1758",105138,NA,NA,4,NA,NA,1,5,1,2,NA,1007588,11106,0
"1759",105329,NA,NA,18,9,9920,2,5,1,18,7900,1007588,8303,0
"1760",105396,"Driving",115,68,2,2200,1,3,1,24,132000,1007588,8303,0
"1761",105548,"Walking",80,55,1,6050,1,1,2,9,24000,1007588,11106,0
"1762",105702,"Driving",82,79,3,2330,2,2,1,21,44000,1007588,11103,0
"1763",105769,"Driving",104,31,1,430,2,5,1,21,55000,1007588,8303,0
"1764",105770,"Driving",168,29,1,4650,1,5,1,20,25000,1007588,8303,0
"1765",105788,NA,NA,77,NA,NA,1,3,1,16,20000,1007588,8303,0
"1766",106040,"Driving",67,39,3,230,1,1,1,21,70000,1007588,11103,0
"1767",106041,"Driving",73,35,3,4200,2,1,1,16,60000,1007588,11103,0
"1768",106158,NA,NA,33,1,9140,1,5,1,19,25200,1007588,11104,0
"1769",106241,"Driving",63,25,1,6050,1,5,2,16,7000,1007588,11103,0
"1770",106242,"Driving",69,19,1,6050,1,5,2,16,10000,1007588,11103,0
"1771",106243,"Driving",75,46,1,6050,1,5,2,12,36000,1007588,11103,0
"1772",106244,"Driving",69,36,1,6050,1,5,2,16,8000,1007588,11103,0
"1773",106245,"Driving",69,28,1,6050,1,5,2,16,10000,1007588,11103,0
"1774",106246,"Driving",75,23,1,6050,1,5,2,16,13000,1007588,11103,0
"1775",106283,NA,NA,55,1,1550,1,1,1,19,70000,1007588,11103,0
"1776",106284,"Driving",93,47,3,5000,2,1,1,19,70000,1007588,11103,0
"1777",106285,"Driving",129,20,1,4110,2,5,1,19,25000,1007588,11103,0
"1778",106286,"Driving",199,19,1,4150,1,5,1,19,2400,1007588,11103,0
"1779",106382,"Driving",102,56,2,800,2,5,1,22,67000,1007588,11106,0
"1780",106444,"Driving",75,52,1,4920,2,1,1,1,40000,1007588,11103,0
"1781",106445,"Driving",73,22,4,2340,2,5,1,20,12500,1007588,11103,0
"1782",106446,"Driving",109,19,1,4720,2,5,1,18,300,1007588,11103,0
"1783",106503,"Driving",88,30,3,565,2,5,1,21,40000,1007588,11103,0
"1784",106504,NA,NA,70,NA,NA,2,1,1,9,2400,1007588,11103,0
"1785",106505,NA,NA,70,NA,NA,1,1,1,1,7200,1007588,11103,0
"1786",106656,"Driving",89,21,5,7140,1,5,1,18,28030,1007588,11106,0
"1787",106737,"Driving",71,54,3,740,2,1,1,20,50000,1007588,11103,0
"1788",106738,"Driving",74,54,3,3820,1,1,1,17,100000,1007588,11103,0
"1789",106819,"Driving",112,74,2,2050,2,5,1,22,24000,1007588,11103,0
"1790",106822,NA,NA,67,NA,NA,1,3,1,19,34800,1007588,11104,0
"1791",106823,"Driving",79,30,1,6230,1,5,1,21,13700,1007588,11104,0
"1792",106903,"Driving",76,54,1,8220,1,1,1,1,33000,1007588,11103,0
"1793",106904,NA,NA,50,NA,NA,2,1,1,6,0,1007588,11103,0
"1794",106905,"Driving",54,31,1,9640,2,5,1,16,6000,1007588,11103,0
"1795",106906,"Driving",69,29,1,8740,2,5,1,1,28000,1007588,11103,0
"1796",106907,"Driving",64,20,1,6050,1,5,1,14,20000,1007588,11103,0
"1797",106908,NA,NA,10,NA,NA,1,5,1,7,NA,1007588,11103,0
"1798",106909,NA,NA,9,NA,NA,1,5,1,8,NA,1007588,11103,0
"1799",106910,NA,NA,8,NA,NA,1,5,1,3,NA,1007588,11103,0
"1800",106911,NA,NA,6,NA,NA,1,5,1,5,NA,1007588,11103,0
"1801",106912,NA,NA,73,NA,NA,1,1,1,5,23200,1007588,11103,0
"1802",106913,NA,NA,71,1,9620,2,1,1,6,0,1007588,11103,0
"1803",106914,"Driving",64,34,1,6050,1,1,1,15,30000,1007588,11103,0
"1804",106920,"Driving",69,33,7,10,1,5,1,21,60000,1007588,8303,0
"1805",107064,"Driving",83,57,1,5700,2,1,1,21,75000,1007588,11104,0
"1806",107065,"Walking",152,54,1,530,1,1,1,19,35000,1007588,11104,0
"1807",107652,"Driving",80,33,5,9810,1,1,1,22,90000,1007588,11103,0
"1808",107653,NA,NA,38,1,650,2,1,1,22,20000,1007588,11103,0
"1809",107654,NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,11103,0
"1810",107655,NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11103,0
"1811",107656,NA,NA,48,3,430,2,3,1,22,36000,1007588,8303,0
"1812",107657,NA,NA,9,NA,NA,2,5,1,6,NA,1007588,8303,0
"1813",107839,NA,NA,35,1,7330,1,5,1,14,200,1007588,11104,0
"1814",108057,NA,NA,69,NA,NA,2,3,1,21,60010,1007588,11106,0
"1815",108249,"Driving",102,58,1,360,1,1,1,24,150000,1007588,8303,0
"1816",108250,"Driving",142,67,4,1965,2,1,1,22,66800,1007588,8303,0
"1817",108354,NA,NA,58,1,1760,2,1,1,21,57000,1007588,11106,0
"1818",108355,"Driving",88,61,1,1760,1,1,1,21,126000,1007588,11106,0
"1819",108512,"Driving",93,43,6,4000,1,1,1,21,11000,1007588,8303,0
"1820",108513,NA,NA,46,NA,NA,2,1,1,20,0,1007588,8303,0
"1821",108514,"Driving",99,18,1,4720,2,5,1,14,4000,1007588,8303,0
"1822",108515,NA,NA,13,NA,NA,1,5,1,10,NA,1007588,8303,0
"1823",108535,"Driving",63,61,7,4810,1,1,1,22,194000,1007588,11104,0
