"","SerialNumber","TransportationMode","ArrivalTime","Age","ClassOfWorker","Occupation","Sex","MaritalStatus","HealthInsurance","EducationLevel","TotalIncome","IncomeAdjuster","PUMA","HomeOffice"
"79",5774,NA,NA,82,NA,NA,2,2,1,16,27600,1007588,11103,0
"80",5958,"Driving",106,37,1,4010,1,1,1,21,45000,1007588,8303,0
"81",5959,"Driving",105,28,1,310,2,1,1,21,44200,1007588,8303,0
"82",6056,NA,NA,77,1,430,1,1,1,22,218100,1007588,11106,0
"83",6057,NA,NA,71,NA,NA,2,1,1,19,20400,1007588,11106,0
"84",6332,"Driving",100,27,1,4700,2,1,1,21,65000,1007588,11106,0
"85",6333,"Driving",208,28,1,3400,1,1,1,21,35000,1007588,11106,0
"86",6334,"Driving",96,59,1,1530,1,1,1,22,165000,1007588,11106,0
"87",6363,NA,NA,45,7,430,1,4,1,21,50,1007588,11106,0
"88",6394,"Home Office",NA,51,3,2200,2,3,1,24,71000,1007588,11106,1
"89",6616,"Driving",56,43,1,8965,1,5,1,16,50000,1007588,11106,0
"90",6725,NA,NA,74,NA,NA,2,2,1,18,17500,1007588,8303,0
"91",6753,"Biking",102,34,4,2200,1,1,1,24,101000,1007588,8303,0
"92",6754,NA,NA,34,2,2340,2,1,1,21,0,1007588,8303,0
"93",6755,NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303,0
"94",6839,"Driving",97,44,6,3000,1,1,2,23,80000,1007588,11104,0
"95",6840,"Driving",102,43,6,3260,2,1,2,24,90000,1007588,11104,0
"96",6841,NA,NA,20,1,6050,1,5,1,16,0,1007588,11104,0
"97",6842,NA,NA,16,NA,NA,2,5,1,13,0,1007588,11104,0
"98",6843,NA,NA,10,NA,NA,1,5,1,7,NA,1007588,11104,0
"99",6910,"Driving",68,34,1,350,2,5,1,16,28000,1007588,11103,0
"100",6911,NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11103,0
"101",6912,NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11103,0
"102",6946,NA,NA,60,NA,NA,2,3,1,16,5000,1007588,8303,0
"103",7034,NA,NA,76,NA,NA,2,2,1,18,8700,1007588,11104,0
"104",7279,NA,NA,79,NA,NA,1,3,1,22,54900,1007588,11106,0
"105",7421,"Driving",102,34,1,7700,1,1,1,19,55000,1007588,11103,0
"106",7422,NA,NA,33,1,5240,2,1,1,19,0,1007588,11103,0
"107",7423,NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103,0
"108",7424,NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11103,0
"109",7659,"Driving",117,56,6,4650,2,1,1,19,10100,1007588,11104,0
"110",7660,NA,NA,65,6,8320,1,1,1,16,10900,1007588,11104,0
"111",7661,NA,NA,24,1,4760,1,5,1,19,27500,1007588,11104,0
"112",7711,NA,NA,46,1,6050,2,1,1,1,26000,1007588,11103,0
"113",7712,"Driving",76,53,1,6050,1,1,1,1,10000,1007588,11103,0
"114",7713,"Driving",108,29,1,9640,1,5,2,16,18000,1007588,11103,0
"115",7714,"Driving",116,24,1,4760,2,5,1,16,32000,1007588,11103,0
"116",7715,"Driving",219,19,1,4430,2,5,1,16,6000,1007588,11103,0
"117",7716,NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103,0
"118",7821,NA,NA,66,NA,NA,1,1,1,9,7900,1007588,11103,0
"119",7822,NA,NA,66,NA,NA,2,1,1,8,17600,1007588,11103,0
"120",7823,"Driving",99,34,1,3420,2,1,1,16,30000,1007588,11103,0
"121",7824,NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11103,0
"122",7825,NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11103,0
"123",7826,"Driving",120,38,6,6440,1,1,1,16,13700,1007588,11103,0
"124",7886,NA,NA,69,NA,NA,2,3,1,17,9900,1007588,11106,0
"125",7890,NA,NA,87,NA,NA,1,2,1,18,21100,1007588,11103,0
"126",8091,"Driving",61,55,1,7750,1,1,2,21,80000,1007588,11106,0
"127",8092,NA,NA,49,NA,NA,2,1,1,16,0,1007588,11106,0
"128",8093,"Walking",134,21,1,4110,1,5,1,19,12000,1007588,11106,0
"129",8094,"Walking",109,19,1,4020,1,5,1,16,18800,1007588,11106,0
"130",8193,NA,NA,65,5,430,2,1,1,19,54000,1007588,11106,0
"131",8194,NA,NA,69,5,1440,1,1,1,21,99800,1007588,11106,0
"132",8195,"Driving",91,44,1,740,2,1,1,21,96000,1007588,11104,0
"133",8196,"Driving",92,48,1,4850,1,1,1,21,95000,1007588,11104,0
"134",8197,NA,NA,11,NA,NA,2,5,1,9,NA,1007588,11104,0
"135",8198,NA,NA,8,NA,NA,2,5,1,6,NA,1007588,11104,0
"136",8434,"Driving",92,39,4,2310,2,1,1,21,61000,1007588,11106,0
"137",8435,"Driving",107,43,1,2000,1,1,1,19,45000,1007588,11106,0
"138",8436,NA,NA,7,NA,NA,2,5,1,5,NA,1007588,11106,0
"139",8447,"Driving",100,64,2,420,1,1,1,22,84000,1007588,8303,0
"140",8448,"Driving",88,63,3,2310,2,1,1,22,103000,1007588,8303,0
"141",8484,NA,NA,49,NA,NA,2,1,1,21,1400,1007588,11106,0
"142",8485,"Home Office",NA,50,6,1006,1,1,1,21,353500,1007588,11106,1
"143",8486,NA,NA,24,1,3245,2,5,1,20,800,1007588,11106,0
"144",8487,NA,NA,20,6,1006,2,5,1,19,3000,1007588,11106,0
"145",8502,NA,NA,76,1,430,1,1,1,22,79100,1007588,11104,0
"146",8503,NA,NA,72,2,2200,2,1,1,24,8200,1007588,11104,0
"147",8537,NA,NA,72,NA,NA,1,1,1,22,32400,1007588,8303,0
"148",8538,NA,NA,63,8,5820,2,1,1,21,14400,1007588,8303,0
"149",8640,"Driving",87,34,5,5700,1,1,1,18,29900,1007588,11106,0
"150",8641,NA,NA,27,1,4510,2,1,1,16,0,1007588,11106,0
"151",8642,NA,NA,3,NA,NA,1,5,1,1,NA,1007588,11106,0
